,Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Kraj pochodzenia,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,Numer rejestracyjny pojazdu,Emisja CO2,Faktura VAT,Leasing,Tuning,Okres gwarancji producenta
237,112000,Osoby prywatnej,Osobowe,Audi,A6,2.0 TFSI S tronic,2018,47 511 km,1 984 cm3,Benzyna,252 KM,Automatyczna,Na przednie koła,7 l/100km,Sedan,5,5,Biały,null,null,null,Tak,null,null,null,Używane,null,null,null,null,null,null
238,122900,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI Ultra S tronic,2018,117 802 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,"5,10 l/100km",Kombi,4,5,Inny kolor,Metalik,null,null,null,Tak,Tak,Tak,Używane,null,109 g/km,null,null,null,null
239,19999,Osoby prywatnej,Osobowe,Audi,A6,null,2003,335 200 km,1 781 cm3,Benzyna,150 KM,Manualna,4x4 (stały),null,Kombi,5,5,Czarny,Metalik,null,null,null,null,Tak,Tak,Używane,null,null,null,null,null,null
240,64900,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI Quattro S tronic,2012,299 000 km,2 967 cm3,Diesel,245 KM,Automatyczna,4x4 (stały),7 l/100km,Sedan,4,5,Czarny,Perłowy,Niemcy,null,Tak,null,Tak,Tak,Używane,null,null,null,null,null,null
241,238500,Osoby prywatnej,Osobowe,Audi,A6,45 TFSI mHEV Quattro S tronic,2021,10 000 km,1 984 cm3,Benzyna,265 KM,Automatyczna,4x4 (dołączany automatycznie),8 l/100km,Sedan,5,5,Czarny,Perłowy,null,01/01/2021,Tak,Tak,null,null,Używane,null,null,null,Tak,null,null
242,15999,Osoby prywatnej,Osobowe,Audi,A6,null,2000,322 000 km,2 500 cm3,Diesel,180 KM,Automatyczna,4x4 (dołączany automatycznie),null,Sedan,4,5,Inny kolor,Matowy,Polska,18/04/2008,Tak,null,null,null,Używane,wgm11vk,null,null,null,null,null
243,91900,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI Ultra DPF S tronic,2015,241 470 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,"5,10 l/100km",Sedan,4,5,Czarny,Perłowy,null,26/06/2015,Tak,null,Tak,Tak,Używane,null,122 g/km,null,null,null,null
244,122900,Osoby prywatnej,Osobowe,Audi,A6,Avant 2.0 TDI Ultra S tronic,2017,163 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,"5,20 l/100km",Kombi,5,5,Szary,Perłowy,null,null,Tak,Tak,Tak,Tak,Używane,null,null,null,null,null,null
245,56900,Osoby prywatnej,Osobowe,Audi,A6,null,2012,198 000 km,1 968 cm3,Diesel,177 KM,Automatyczna,Na przednie koła,null,Kombi,5,5,Biały,Perłowy,Szwecja,null,null,null,Tak,Tak,Używane,null,null,null,null,null,null
246,19500,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI,2006,420 000 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,8 l/100km,Kombi,5,5,Czarny,Perłowy,null,null,Tak,null,Tak,null,Używane,RK62584,null,null,null,null,null
247,145000,Osoby prywatnej,Osobowe,Audi,A6,Avant 3.0 TDI competition quattro tiptronic,2016,259 000 km,2 967 cm3,Diesel,326 KM,Automatyczna,4x4 (dołączany automatycznie),"7,70 l/100km",Kombi,5,5,Czarny,null,Niemcy,11/11/2016,Tak,null,null,Tak,Używane,Zs400lg,null,null,Tak,null,null
248,37700,Firmy,Osobowe,Audi,A6,null,2009,240 000 km,2 800 cm3,Benzyna,220 KM,Manualna,Na przednie koła,null,Kombi,5,5,Inny kolor,Metalik,null,null,null,null,Tak,Tak,Używane,null,null,null,null,null,null
249,64900,Firmy,Osobowe,Audi,A6,null,2014,229 000 km,1 968 cm3,Diesel,177 KM,Automatyczna,Na przednie koła,null,Kombi,5,5,Czarny,Metalik,Szwecja,null,Tak,null,Tak,Tak,Używane,GERMANMOTORS,null,null,null,null,30/06/2023
250,22700,Osoby prywatnej,Osobowe,Audi,A6,null,2007,336 000 km,2 698 cm3,Diesel,180 KM,Automatyczna,4x4 (dołączany automatycznie),null,Kombi,5,5,Czarny,Metalik,Niemcy,null,null,null,Tak,Tak,Używane,null,210 g/km,null,null,null,null
251,317300,Firmy,Osobowe,Audi,A6,40 TDI mHEV Quattro Sport S tronic,2021,1 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (stały),5 l/100km,Sedan,4,5,Czarny,Metalik,Polska,null,null,null,Tak,null,Nowe,null,null,Tak,null,null,null
252,27900,Firmy,Osobowe,Audi,A6,null,2006,262 758 km,2 698 cm3,Diesel,190 KM,Manualna,Na przednie koła,8 l/100km,Sedan,5,5,Czarny,Metalik,Niemcy,null,null,Tak,Tak,Tak,Używane,null,199 g/km,null,null,null,null
253,79900,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI ultra S tronic,2016,197 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,5 l/100km,Kombi,5,5,Szary,Metalik,Niemcy,19/09/2016,null,null,Tak,Tak,Używane,null,118 g/km,Tak,null,null,null
254,100200,Firmy,Osobowe,Audi,A6,null,2017,70 033 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,null,Kombi,5,5,Czarny,null,Rosja,null,null,null,Tak,null,Używane,null,null,null,null,null,null
255,89999,Osoby prywatnej,Osobowe,Audi,A6,Avant 2.0 TDI quattro S tronic,2017,260 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,4x4 (stały),"6,10 l/100km",Kombi,5,5,Biały,null,null,01/03/2017,Tak,null,Tak,Tak,Używane,EZD 75Y5,null,null,null,null,null
256,129900,Firmy,Osobowe,Audi,A6,2.0 TDI Ultra S tronic,2017,70 584 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,"5,10 l/100km",Sedan,4,5,Biały,Matowy,Polska,29/09/2017,Tak,null,Tak,Tak,Używane,null,null,null,null,null,null
257,46000,Osoby prywatnej,Osobowe,Audi,A6,null,2011,203 000 km,1 968 cm3,Diesel,170 KM,Automatyczna,Na przednie koła,null,Kombi,5,5,Niebieski,Metalik,Niemcy,09/08/2011,Tak,null,Tak,Tak,Używane,WPL 78051,null,null,null,null,null
258,284900,Firmy,Osobowe,Audi,A6,null,2020,11 865 km,2 967 cm3,Diesel,231 KM,Automatyczna,4x4 (dołączany automatycznie),null,Sedan,4,5,Beżowy,Metalik,null,09/04/2020,null,Tak,Tak,Tak,Używane,null,null,Tak,Tak,null,null
259,269800,Osoby prywatnej,Osobowe,Audi,A6,50 TDI mHEV Quattro Tiptronic,2019,23 800 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (stały),"7,40 l/100km",Sedan,5,5,Czarny,Metalik,null,22/10/2019,Tak,Tak,Tak,Tak,Używane,null,null,Tak,null,null,12/10/2024
260,149900,Firmy,Osobowe,Audi,A6,null,2017,31 350 km,1 984 cm3,Benzyna,252 KM,Automatyczna,4x4 (stały),null,Sedan,4,5,Szary,Metalik,Polska,14/02/2018,Tak,Tak,Tak,Tak,Używane,null,null,Tak,Tak,null,null
261,336988,Firmy,Osobowe,Audi,A6,null,2021,5 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (dołączany automatycznie),null,Kombi,4,5,Szary,Metalik,Polska,null,null,null,Tak,null,Nowe,null,null,Tak,Tak,null,null
262,72900,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI clean diesel Quattro S tronic,2012,160 000 km,2 967 cm3,Diesel,245 KM,Automatyczna,4x4 (dołączany automatycznie),7 l/100km,Kombi,5,5,Czarny,Metalik,Polska,09/05/2012,Tak,null,Tak,Tak,Używane,null,null,null,null,null,null
263,254999,Firmy,Osobowe,Audi,A6,40 TDI mHEV Quattro S tronic,2022,1 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (stały),5 l/100km,Sedan,4,5,Czarny,null,Polska,null,null,null,Tak,null,Nowe,null,123 g/km,Tak,Tak,null,01/01/2025
264,295000,Firmy,Osobowe,Audi,A6,null,2022,500 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (dołączany automatycznie),null,Sedan,5,5,Niebieski,Metalik,Polska,null,Tak,null,Tak,null,Nowe,null,null,Tak,Tak,null,null
265,89900,Osoby prywatnej,Osobowe,Audi,A6,Avant 2.0 TDI Ultra S tronic,2015,220 000 km,1 968 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,"4,90 l/100km",Kombi,5,5,Inny kolor,Metalik,null,22/05/2015,Tak,Tak,Tak,null,Używane,null,null,null,null,null,null
266,85000,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI DPF quattro S tronic,2011,209 500 km,2 967 cm3,Diesel,245 KM,Automatyczna,4x4 (stały),"7,20 l/100km",Sedan,4,5,Brązowy,null,null,null,Tak,null,null,null,Używane,null,null,null,null,null,null
267,25400,Osoby prywatnej,Osobowe,Audi,A6,Avant 2.0 TFSI multitronic,2008,186 000 km,1 984 cm3,Benzyna,170 KM,Automatyczna,Na przednie koła,"10,50 l/100km",Kombi,5,5,Czarny,Metalik,Niemcy,29/04/2008,Tak,null,Tak,Tak,Używane,DL8739F,181 g/km,null,null,null,null
268,305989,Firmy,Osobowe,Audi,A6,40 TDI mHEV Quattro Sport S tronic,2022,8 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (stały),5 l/100km,Kombi,5,5,Czarny,null,Polska,null,null,null,Tak,null,Nowe,null,null,Tak,null,null,null
269,58900,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI Quattro S tronic,2011,280 000 km,2 967 cm3,Diesel,245 KM,Automatyczna,4x4 (stały),7 l/100km,Sedan,5,5,Srebrny,Metalik,null,null,Tak,null,null,null,Używane,null,null,null,null,null,null
270,116900,Firmy,Osobowe,Audi,A6,null,2015,164 641 km,1 968 cm3,Diesel,190 KM,Automatyczna,null,null,Sedan,4,5,Biały,null,null,null,Tak,Tak,Tak,Tak,Używane,WE571RM,null,Tak,Tak,null,null
271,298800,Firmy,Osobowe,Audi,A6,null,2022,5 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (dołączany automatycznie),null,Kombi,5,5,Czarny,Metalik,Polska,null,null,null,Tak,null,Nowe,null,null,Tak,Tak,null,null
272,9000,Osoby prywatnej,Osobowe,Audi,A6,null,1998,380 000 km,1 800 cm3,Benzyna+LPG,150 KM,Manualna,Na przednie koła,null,Sedan,5,5,Fioletowy,Metalik,Niemcy,08/05/1998,Tak,null,Tak,null,Używane,WCI42151,null,null,null,null,null
273,24900,Firmy,Osobowe,Audi,A6,null,2007,189 000 km,1 984 cm3,Benzyna,170 KM,Automatyczna,Na przednie koła,null,Sedan,4,5,Czarny,Metalik,Węgry,03/12/2007,Tak,null,null,null,Używane,null,null,null,null,null,null
274,75900,Osoby prywatnej,Osobowe,Audi,A6,Avant 2.0 TDI Ultra DPF,2015,292 000 km,1 968 cm3,Diesel,190 KM,Manualna,Na przednie koła,"5,30 l/100km",Kombi,5,5,Biały,Metalik,null,24/02/2015,Tak,null,null,null,Używane,E4 LALA,null,null,null,null,null
275,343100,Firmy,Osobowe,Audi,A6,40 TDI mHEV Quattro Sport S tronic,2021,1 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (stały),5 l/100km,Sedan,4,5,Czarny,Metalik,Polska,null,null,null,Tak,null,Nowe,null,null,Tak,null,null,null
276,89700,Firmy,Osobowe,Audi,A6,null,2015,137 487 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,null,Kombi,5,5,Biały,null,Niemcy,null,null,null,Tak,null,Używane,null,null,null,null,null,null
277,19800,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI Quattro Tiptronic,2004,425 500 km,2 967 cm3,Diesel,224 KM,Automatyczna,4x4 (stały),11 l/100km,Sedan,4,5,Czarny,Metalik,Niemcy,null,Tak,null,Tak,null,Używane,null,null,null,null,null,null
278,60999,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI DPF quattro S tronic,2012,478 000 km,2 967 cm3,Diesel,245 KM,Automatyczna,4x4 (stały),"7,20 l/100km",Sedan,4,5,Czarny,null,Polska,null,Tak,null,null,null,Używane,null,null,null,null,null,null
